time,GB_Pos,GB_Neg,GB_Neu,GB_Total,US_Pos,US_Neg,US_Neu,US_Total,JP_Pos,JP_Neg,JP_Neu,JP_Total
2019-01-07 17:18:29.538000,1,1,3,5,0,0,6,6,0,0,2,2
2019-01-07 17:18:34.649000,1,1,4,6,4,1,7,12,0,0,3,3
2019-01-07 17:18:40.019000,2,2,2,6,3,1,1,5,0,0,2,2
2019-01-07 17:18:45.027000,1,0,1,2,3,0,5,8,0,0,1,1
2019-01-07 17:18:50.213000,0,0,1,1,2,2,3,7,0,0,2,2
2019-01-07 17:18:56.579000,3,1,1,5,4,0,3,7,0,0,1,1
2019-01-07 17:19:02.252000,4,1,0,5,5,1,2,8,0,0,0,0
2019-01-07 17:19:07.408000,1,1,1,3,3,1,5,9,0,0,0,0
2019-01-07 17:19:13.058000,2,1,4,7,0,2,1,3,0,0,2,2
2019-01-07 17:19:18.223000,0,3,1,4,1,1,7,9,1,0,2,3
2019-01-07 17:19:23.341000,1,0,2,3,1,1,2,4,0,0,0,0
2019-01-07 17:19:28.756000,2,1,5,8,3,2,4,9,0,0,0,0
2019-01-07 17:19:33.760000,1,0,3,4,5,0,7,12,0,0,1,1
2019-01-07 17:19:38.894000,2,0,2,4,2,0,5,7,0,0,1,1
2019-01-07 17:19:44.507000,1,0,5,6,1,1,6,8,0,0,2,2
2019-01-07 17:19:49.626000,0,1,3,4,2,0,4,6,0,0,1,1
2019-01-07 17:19:54.642000,1,1,1,3,1,2,2,5,1,0,0,1
2019-01-07 17:19:59.805000,2,0,2,4,5,0,6,11,0,0,2,2
2019-01-07 17:20:04.811000,4,0,3,7,3,1,5,9,0,0,0,0
2019-01-07 17:20:09.965000,1,0,6,7,4,1,1,6,0,0,2,2
2019-01-07 17:20:15.181000,1,0,2,3,1,1,2,4,0,0,3,3
2019-01-07 17:20:20.645000,2,0,2,4,3,0,3,6,0,0,2,2
2019-01-07 17:20:25.675000,2,0,1,3,1,1,4,6,0,0,5,5
2019-01-07 17:20:30.762000,1,1,0,2,1,3,2,6,0,0,2,2
2019-01-07 17:20:35.957000,1,1,2,4,2,1,4,7,0,0,2,2
2019-01-07 17:20:41.203000,0,0,4,4,3,1,2,6,0,0,1,1
2019-01-07 17:20:47.665000,0,1,3,4,5,0,0,5,1,0,1,2
2019-01-07 17:20:52.884000,1,0,4,5,1,1,2,4,0,0,2,2
2019-01-07 17:20:57.926000,2,1,2,5,1,2,5,8,0,0,2,2
2019-01-07 17:21:02.970000,0,0,0,0,2,3,2,7,0,0,1,1
2019-01-07 17:21:08.573000,1,1,4,6,1,1,6,8,1,0,4,5
2019-01-07 17:21:13.692000,1,0,1,2,4,1,2,7,0,0,1,1
2019-01-07 17:21:19.198000,1,0,2,3,3,0,5,8,0,0,2,2
2019-01-07 17:21:25.064000,1,2,3,6,6,0,2,8,0,0,2,2
2019-01-07 17:21:30.301000,3,0,3,6,2,0,3,5,0,0,2,2
2019-01-07 17:21:35.734000,2,0,3,5,1,1,5,7,0,0,0,0
2019-01-07 17:21:42.599000,2,1,0,3,3,2,1,6,0,1,0,1
2019-01-07 17:21:47.693000,1,0,2,3,2,0,3,5,0,0,1,1
2019-01-07 17:21:53.014000,3,0,1,4,1,4,2,7,0,0,3,3
2019-01-07 17:21:58.234000,4,0,2,6,3,0,3,6,0,0,2,2
2019-01-07 17:22:03.429000,0,0,1,1,5,4,6,15,0,0,2,2
2019-01-07 17:22:11.066000,1,0,1,2,2,0,3,5,0,0,2,2
2019-01-07 17:22:18.061000,2,1,1,4,5,2,2,9,1,1,0,2
2019-01-07 17:22:23.805000,3,1,1,5,1,0,5,6,0,0,0,0
2019-01-07 17:22:29.163000,3,1,3,7,2,1,1,4,0,0,3,3
2019-01-07 17:22:35.850000,3,1,0,4,2,0,4,6,0,0,0,0
2019-01-07 17:22:40.928000,0,0,1,1,2,1,3,6,0,0,1,1
2019-01-07 17:22:46.242000,0,1,2,3,3,0,3,6,0,0,3,3
2019-01-07 17:22:51.359000,2,0,3,5,2,0,5,7,0,0,2,2
2019-01-07 17:22:56.657000,1,0,1,2,3,1,1,5,0,0,1,1
2019-01-07 17:23:02.310000,0,0,3,3,2,1,2,5,0,0,1,1
2019-01-07 17:23:07.597000,2,1,1,4,2,3,1,6,0,0,0,0
2019-01-07 17:23:12.719000,1,2,1,4,3,1,6,10,0,0,2,2
2019-01-07 17:23:18.101000,0,0,3,3,1,0,5,6,0,0,1,1
2019-01-07 17:23:23.768000,2,0,3,5,2,0,1,3,0,0,1,1
2019-01-07 17:23:29.259000,1,1,0,2,3,0,2,5,1,0,3,4
2019-01-07 17:23:34.754000,3,0,1,4,0,1,2,3,0,0,1,1
2019-01-07 17:23:39.855000,1,1,2,4,1,1,3,5,0,0,0,0
2019-01-07 17:23:45.521000,2,0,6,8,2,1,2,5,0,0,1,1
2019-01-07 17:23:51.623000,3,1,2,6,2,0,4,6,0,0,5,5
